#TYPE Selected.System.Management.Automation.PSCustomObject
"Player","CurrentMMR","PreviousMMR","Change"
"Sawblade","3891","3769","122"
"Unknown","4499","4479","20"
"UnKleToBy","4944","4932","12"
"Oghma","2844","2847","-3"
"TEarDroP","4799","4816","-17"
"Derp","4038","4092","-54"
