#TYPE Selected.System.Management.Automation.PSCustomObject
"Player","CurrentMMR","PreviousMMR","Change"
"UnKleToBy","5015","4944","71"
"YoyO","5102","5036","66"
"Unknown","4538","4499","39"
"Sawblade","3914","3891","23"
"TEarDroP","4639","4799","-160"
