#TYPE Selected.System.Management.Automation.PSCustomObject
"Player","CurrentMMR","PreviousMMR","Change"
"TheKazootie","4450","0","4450"
"sherpard","3288","3260","28"
"Unknown","4558","4538","20"
"LeWaffles","3599","3580","19"
"UnKleToBy","5026","5015","11"
"Sawblade","3901","3914","-13"
"YoyO","5063","5102","-39"
"TEarDroP","4573","4639","-66"
